"Displays all available commands","Отображает все доступные команды"
"Autocomplete field. An E-mail of the person who will be author of the review","Поле с авто-завершением. E-mail пользователя, которые будет автором этого отзыва"
"Autocomplete field. Select a product that is related to this review","Поле с авто-завершением. Выберите товар, для которого предназначен этот отзыв"
"Text of the review. HTML tags are not allowed","Текст отзыва. Теги HTML не разрешены"
Missing,Отсутствует
Panel,Панель
Welcome!,"Добро пожаловать!"
"Here are some extra steps to set up your store","Дополнительные шаги для завершения установки вашего магазина"
"Extend your store by installing extra modules and themes","Расширьте функционал магазина путём установки дополнительных модулей"
"Add products to sell","Добавьте товары для продажи"
"Add company info, change logo, theme","Добавьте информацию о компании, измените логотип, тему оформления"
Skip,Пропустить
"See all","Смотреть все"
"Toggle navigation","Переключить навигацию"
GPLCart,GPLCart
"Log out",Выход
"Select language","Выберите язык"
Version,Версия
Dependencies,Зависимости
Disable,Отключить
Enable,Включить
"Are you sure? This action may permanently delete some data managed by this module","Вы уверены? Это действие может навсегда удалить некоторые данные, управляемые этим модулем"
Uninstall,Удалить
"Install and enable","Установить и включить"
Configure,Настроить
"Implements hooks","Предоставляет хуки"
Requires,Требует
invalid,недействительно
Error,Ошибка
"No modules","Нет модулей"
Clear,Очистить
Message,Сообщение
Severity,Важность
Line,Строка
"Clear cache","Очистить кэш"
Vendor,Поставщик
Directory,Директория
Module,Модуль
Pattern,Шаблон
Access,"Права доступа"
"Run cron","Запустить крон"
"Abandoned / before checkout","Брошено/перед оформлением заказа"
Amount,Сумма
new,новое
"You can add an order for an <a href=""@url"">existing user</a>","Вы можете добавить заказ для <a href=""@url""> существующего пользователя</a>"
Print,Печать
"Are you sure? A new order will be created, this order will be canceled","Вы уверены? Будет создан новый заказ, этот заказ будет отменен"
Clone,Клонировать
"Order comments","Комментарии к заказу"
Components,Компоненты
"Grand total","Итоговая сумма"
"No products in the cart","Нет товаров в корзине"
unavailable,недоступно
"Orders placed","Размещённых заказов"
Editor,Редактор
"Customer is not notified","Клиент не уведомлён"
"Failed to notify customer","Не удалось уведомить клиента"
"Customer is notified","Клиент уведомлён"
Uknown,Неизвестно
"Order ID","ID заказа"
"Update status","Обновить статус"
"Last modified","Последнее изменение"
IP,"IP адрес"
"User agent","Агент пользователя"
"Tracking number","Номер отслеживания"
"Disabled rules will not affect store prices","Отключенные правила не влияют на цены в магазине"
"Select an enabled <a href=""@url"">trigger</a> that applies this rule. Keep in mind that triggers are per store","Выберите включенный <a href=""@url""> триггер</a>, который применяет это правило. Помните, что триггеры привязаны к определённому магазину"
"The name will be shown to administrators and customers during checkout","Это название будет показано для администраторов и клиентов во время оформления заказа"
"Unique code you want to associate with this price rule. The code must be specified by a customer during checkout","Уникальный код, который вы хотите связать с данным правилом. Этот код должен быть указан клиентом во время оформления заказа для получения скидки"
"Numeric value to be added to the original price when the rule is applied. To substract use negative numbers","Числовое значение, которое будет добавлено к оригинальной цене, если это правило будет применено. Для вычитания используйте отрицательные числа"
Percent,Процент
Fixed,Фиксированное
"Select how to apply the price rule value, e.g for discount 10% use ""Percent""","Выберите, как применять значение цены, например для скидки в 10% используйте ""Процент"""
"The price value will be converted according to the selected currency","Значение цены будет cконвертировано в соответствии с выбранной валютой"
"Position of the rule among other enabled rules. Rules with lower weight are applied earlier","Позиция этого правила среди других правил. Правила в меньшим весом будут выполняться первыми"
"Payment method","Способ оплаты"
"Gateway transaction ID","ID трансакции шлюза"
"Disabled cities will not be displayed to customers","Отключённые города не будет отображаться для клиентов"
"Native name of the city","Родное название этого города"
"Zones are geographic regions that you ship goods to. Each zone provides shipping rates that apply to customers whose addresses are within that zone.","Зоны - это географические области, куда осуществляется доставка. Каждая зона имеет свои расценки на доставку, которые будут применены при расчёте стоимости заказа"
"Select your sitewide time zone. This setting can affect price rules and other important things","Выберите часовой пояс для всего сайта. Эти настройки влияют на правила цен и другие важные вещи"
"Cron key","Ключ крон"
"The key is used to run scheduled operations from outside of the site. Leave empty to generate a random key","Этот ключ используется для выполнения запланированных операций (CRON) путём внешнего запроса. Оставьте поле пустым для генерации случайного ключа"
"Track errors","Отслеживать ошибки"
"Errors, notices, warnings","Ошибки, уведомления, предупреждения"
All,Все
"Select which PHP errors should be tracked by logging system","Выберите, какие ошибки PHP должны отслеживаться логгером"
"Compress JS","Сжимать JS"
"If enabled, JS files will be merged into several big files. It reduces number of HTTP queries and improves site loading speed","Если включено, файлы Java-Script будут объединены в несколько больших файлов, что позволит уменьшить количество HTTP запросов и увеличить скорость загрузки сайта"
"Compress CSS","Сжимать CSS"
"If enabled, CSS files will be minified and merged into one big file. It reduces number of HTTP queries and improves site loading speed","Если включено, файлы CSS будут сжаты и объединены в несколько больших файлов, что позволит уменьшить количество HTTP запросов и увеличить скорость загрузки сайта"
"Delete cached assets","Удалить кеш .js и .css файлов"
"Disabled countries will not be available to customers","Отключённые страны не будут доступны для клиентов"
"ISO 3166-2 code, e.g US","Код ISO 3166-2, например US"
"International english name of the country according to ISO 3166-2 standard","Международное английское название страны по стандарту ISO 3166-2"
"Local name of the country, e.g 中国","Локальное имя страны, например 中国"
States,Области
Format,Формат
"Default currency is the base currency of the store","Валюта по умолчанию является базовой валютой магазина"
"Disabled currencies will not be available to customers","Отключённые валюты не будут доступны для клиентов"
"Exchange rate against default (base) currency. Only numeric positive values","Курс обмена относительно базовой валюты. Только числовые положительные значения"
"Official currency name in english","Официальное название валюты на английском"
"Template placeholder: %name","Подстановка в шаблоне: %name"
"Three-letter upper-case code according to ISO 4217 standard, e.g USD","Трёх-буквенный код в верхнем регистре по стандарту ISO 4217, например USD"
"Sign of the currency, e.g $.","Знак валюты, например $."
"Numeric code according to ISO 4217 standard.","Числовой код по стандарту ISO 4217"
"Name of the highest valued currency unit, e.g Dollar.","Название наибольшей единицы измерения валюты, например Доллар"
"Name of the lowest valued currency unit. Usually it's 1/100 of the major unit, e.g Cent.","Название наименьшей единицы измерения валюты, например Цент"
"Number of decimal points, usually 2","Количество десятичных точек, обычно 2"
"Numeric value for more granular control over rounding to the final value. Enter 0 if unsure","Числовое значение для более детального контроля над округлением до конечного значения. Введите 0, если вы не уверены"
"Thousands separator","Разделитель тысячного разряда"
"Character used to separate thousands, e.g comma.","Символ, используемый для разделения тысяч, например запятая."
"Decimal separator","Десятичный разделитель"
"Character used to separate decimals, e.g period","Символ, используемый для разделения десятичных, например точка"
Template,Шаблон
"Template to format prices in this currency. See the field descriptions for available placeholders. For price value use %price","Шаблон формата цены в этой валюте. Смотрите описания полей для доступных подстановок. Для значения цены используйте %price"
"In database","В базе данных"
Updated,Обновлено
"Disabled imagestyles will not process images","Отключенные стили не будут участвовать в обработке изображений"
"Descriptive name of the image style for administrators","Описание стиля для администратора"
"List of actions to be applied from the top to bottom. One action per line. See the legend. For example to make thumbnail 50X50: thumbnail 50,50","Список действий, которые буду применены сверху вниз. Одно действие на строку. Смотрите расшифровку обозначений. Например, сделать эскиз 50 X 50: thumbnail 50,50"
Legend,"Расшифровка обозначений"
Key,Ключ
"If selected the language will be considered as default fallback language","Если выбрано, этот язык будет рассматриваться как язык по умолчанию"
"Disabled languages will not be available to customers","Отключённые языки не будут доступны клиентам"
Right-to-left,"Справа налево"
"Whether the language is written in right-to-left (RTL) script","Написан ли язык справа налево (RTL)"
"Language code according to ISO 639-1. Culture names also accepted","Код языка по стандарту ISO 639-1. Региональные названия также могут быть использованы"
"International english name of the language according to ISO 639 standard","Международное название языка на английском по стандарту ISO 639"
"Local name of the language, e.g 中文","Локальное название языка, например 中文"
"Are you sure? All compiled translations for this language will be re-created, their existing translations will be lost!","Уверены? Все скомпилированные переводы для этого языка будет созданы заново, их существующие переводы будут потеряны!"
Refresh,Обновить
"Disabled states will not be displayed to customers","Отключённые области не будут доступны для клиентов"
"Official name of the state","Официальное название этой области"
"Code or abbreviation used to represent the state in the country, e.g NY for New York","Код или аббревиатура для обозначения этого штата/области в этой стране, например NY для New York"
Cities,Города
"Disabled stores will be closed and show maintenance status","Отключённые магазины будут закрыты и показывать сообщение о профилактических работах"
"Short name for administrators","Короткое название для администраторов"
"Domain name by which this store can be accessed","Название домена, по которому будет доступен этот магазин"
"Specify a subdirectory if the store is not installed in the domain root directory","Укажите установочную поддиректорию, если файлы магазина загружены не в корень домен"
"The default site name","Название сайта по умолчанию"
"List of e-mails, one per line","Список e-mail, по одному в строке"
Owner,Владелец
"Name of the company that owns this store","Название компании, которой принадлежит этот магазин"
"An optional text to be used in meta description tag","Необязательный текст для использования в мета-теге description"
Contact,Контакты
"City of the store","Город магазин"
"Country state of the store","Область/штат магазина"
"Country of the store","Страна магазина"
"Physical address of the store","Физический адрес магазина"
"Latitude and longitude of the store, one value per line","Широты и долготы магазина, одно значение в строке"
"List of phone numbers, one per line","Список телефонных номеров, по одному в строке"
"List of fax numbers, one per line","Список номеров факсов, по одному в строке"
"Post code","Почтовый индекс"
"Post code of the store","Почтовый код магазина"
Appearance,Оформление
"Select a theme module used to display front-end of the store to all devices","Выберите модуль, используемый для отображения магазина для всех устройств"
"Anonymous checkout","Анонимное оформление заказа"
"Whether or not anonymous customers should log in before checkout","Должны ли анонимные пользователи авторизоваться для оформления заказа"
"Java-Script code without script tags to add on each public, non-admin and non-internal page, e.g Google Analytics tracking code","Код Java-Script без тегов ""script"" для вставки на каждой публичной странице, которая не предназначена для административного и внутреннего использования, например код отслеживания Google Analytics"
"Select a <a href=""@url"">collection</a> to be used for banner slideshow on front page","Выберите <a href=""@url"">коллекцию</a> для показа баннеров на главной странице"
"Featured products","Рекомендуемые товары"
"Select a <a href=""@url"">collection</a> to be used for list of featured products on front page","Выберите <a href=""@url""> коллекцию</a> для списка товаров на главной странице"
"Select a <a href=""@url"">collection</a> to be used for list of articles/news on front page","Выберите <a href=""@url""> коллекцию</a> для списка статей/новости на главной странице"
Logo,Логотип
"The main site logo. Appearance of the image is controlled by the current theme","Главный логотип сайта. Отображение этого изображения контролируется настройками текущей темы оформления"
Favicon,Иконка
"Favicon is a small image that represents your site. Appearance of the image is controlled by the current theme","Favicon - это небольшая иконка, которая представляет ваш сайт в закладках браузера. Отображение зависит от настроек текущей темы оформления"
"Disabled triggers will be excluded from processing","Отключенные триггеры будут исключены из обработки"
"The name will be shown to administrators","Это название будет показано администраторам"
"Select a store that is associated with this trigger","Выберите магазин для этого триггера"
"Position of the trigger among other enabled triggers. Triggers with lower weight are invoked earlier","Позиция триггера среди других включённых триггеров. Триггеры с меньшим весом будут срабатывать раньше"
"Which conditions must be met to invoke the trigger. One condition per line. See the legend. Conditions are checked from the top to bottom. Format: [condition ID][space][operator][space][parameter(s)]","Какие условия должны соблюдаться для срабатывания этого триггера. Одно условие в строке. Смотрите расшифровку. Условия проверяются сверху вниз. Формат: [ID условия][пробел][оператор][пробел] [параметры]"
Operators,Операторы
Operator,Оператор
"Disabled zones will not be available to users","Отключённые зоны не будут доступны пользователям"
"Name for administrators","Название для администраторов"
"Full name","Полное название"
Details,Детали
"User name, e.g John Smith","Имя пользователя, например Джон Смит"
"Unique E-mail for this user","Уникальный адрес электронной почты для этого пользователя"
"Password to log in this user","Пароль для входа этого пользователя"
"Disabled users are not allowed to login","Отключённые пользователи не смогут авторизоваться на сайте"
"Roles are sets of permissions that control what users can do and see on the site","Роли — это наборы разрешений, которые контролируют то, что пользователи могут делать и видеть на сайте"
"Associate this user with a certain store","Связать этого пользователя с определенным магазином"
"Add order","Добавить заказ"
Expires,"Срок действия"
"Disabled roles will not be available to users","Отключённые роли не будут доступны пользователям"
"Descriptive name of the role, e.g Boss, Manager etc","Содержательное описание для этой роли, например Босс, Менеджер и т.д"
"To account page","На страницу аккаунта"
"A destination that a user is redirected to after logged in","Направление, куда будет перенаправлен пользователь после удачной авторизации"
Permissions,Разрешения
"Select/unselect all","Выбрать всё / снять выделения"
"Category page","Страница категории"
"Category page (child)","Страница категории (дочерняя)"
"Product page","Страница товара"
"Product catalog (grid)","Каталог товаров (сетка)"
"Product catalog (list)","Каталог товаров (список)"
"Product option","Вариант товара"
"File collection (banners)","Коллекция файлов (баннеры)"
"Page collection (news/articles)","Коллекция страниц (новости/статьи)"
"Product collection (featured products)","Коллекции товаров (рекомендуемые)"
"Settings have been reset to default values","Настройки были сброшены до значений по умолчанию"
Frontend,Frontend
"Edit %name settings","Изменение настроек %name"
"Already in comparison","Уже в сравнении"
"Already in wishlist","Уже в списке желаний"
"Selected: !combination","Выбрано: !combination"
"Checking availability...","Проверка доступности..."
"Frontend theme","Тема фронтенда"
"View and manage addressbook","Просмотр и управление адресной книгой"
"Edit account details","Изменить данные учетной записи"
"This account is inactive","Эта учетная запись неактивна"
Never,Никогда
"You have no orders yet. <a href=""@url"">Shop now</a>","У вас еще нет заказов. <a href=""@url"">В магазин</a>"
Delete?,Удалить?
"You have no saved addresses yet","У вас еще нет сохраненных адресов"
"New password","Новый пароль"
"Existing password","Существующий пароль"
Comments,Комментарии
"Add to cart","Добавить в корзину"
"Add to wishlist","Добавить в список желаний"
Compare,Сравнить
"Shopping cart is empty","Корзина пуста"
Subtotal,"Промежуточный итог"
"Final price will be shown on checkout page","Окончательная цена будет показана на странице оформления заказа"
"Cart / Checkout","Корзина / Оформить заказ"
"This category has no content","Эта категория не имеет содержимого"
"Showing @num of @total","Показано @num из @total"
"Low prices first","Сначала низкие цены"
"High prices first","Сначала высокой цены"
"Title A-Z","Заголовок А–Я"
"Title Z-A","Заголовок Я–А"
Go,Далее
"If you want to add a new order for a user, add all needed products to your cart then add an order for the <a href=""@url"">user</a>. Your cart items will be assigned to that user.","Если вы хотите добавить новый заказ для пользователя, добавьте необходимые товары в свою корзину, затем создайте заказ для этого <a href=""@url"">пользователя</a>. Товары из вашей корзины перейдут к этому пользователю."
"Shopping cart is empty. <a href=""@url"">Shop now</a>","Корзина пуста. <a href=""@url"">В магазин</a>"
"Your browser seems to have Java-Script disabled. You should press ""Update"" button each time you make changes in the form","Похоже ваш браузер не поддерживает Java-Script. Вам необходимо нажимать кнопку «Обновить» каждый раз, когда вы внести изменения в форме"
Update,Обновить
"Already registered?","Уже зарегистрированы?"
"Click to login","Нажмите для входа"
"Place order now",Заказать
"Log in",Авторизоваться
"Continue as guest","Продолжить как гость"
"My shipping and payment addresses are the same","Мои адреса доставки и оплаты совпадают"
"Add address","Добавить адрес"
"Get states","Получить области"
"Get services and rates","Получить сервисы и расценки"
"Move to wishlist","Переместить в список желаний"
"Enter code","Введите код"
Apply,Применить
"Shipping method","Способ доставки"
Unvote,"Отменить голос"
"@num out of @total stars","@num из @total звезд"
Facebook,Facebook
Google+,Google+
Twitter,Twitter
"Show only difference","Показать только различия"
"Nothing to compare","Нечего сравнивать"
"Add more to compare","Добавить к сравнению"
"Change password","Изменить пароль"
"Content coming soon...","Содержимое скоро будет..."
"There are some issues in your environment","Существуют некоторые проблемы в вашем системном окружении"
"non-critical issue",некритично
"critical issue","критические проблемы"
error,ошибка
"Installation profiles","Установочные профили"
"This distribution can be installed in several ways. Select an installer that fits your needs","Этот дистрибутив можно установить несколькими способами. Выберите установочный профиль, который соответствует вашим потребностям"
Database,"База данных"
"Name of the database you want to connect to","Имя базы данных, к которой вы хотите подключиться"
"Existing username to access the database","Имя пользователя для доступа к базе данных"
"Password to access the database. Can be empty","Пароль для доступа к базе данных. Может быть пустым"
Site,Cайт
"E-mail for superadmin","E-mail для супер-администратора"
"Password for superadmin","Пароль для супер-администратора"
"Name of the store","Название магазина"
"Choose your local timezone","Выберите ваш часовой пояс"
"Advanced database settings","Расширенные настройки базы данных"
"Select your database type from the list of supported PDO drivers","Выберите тип базы данных из списка поддерживаемых драйверов"
mysql,mysql
sqlite,sqlite
"The port number to use for the connection. The default port number is 3306","Номер порта, используемый для подключения базы данных. По умолчанию используется порт 3306"
"The default host name is localhost. If your database should be connected remotely specify here its IP or domain","Имя хоста по умолчанию — localhost. Если ваша база данных должна быть подключена удаленно укажите здесь её IP или домен"
Install,Установить
Help,Помощь
Hello,Здравствуйте
"We'll be back soon!","Мы скоро вернёмся!"
"Sorry for the inconvenience but we're performing some maintenance at the moment","Извините за неудобства, но на данный момент мы выполняем техническое обслуживания"
"Forgot password","Забыл пароль"
Specs,Характеристики
"This product is disabled","Этот товар отключен"
"@num reviews","@num отзывов"
"Be first to review this product","Добавьте первый отзыв"
"Recently viewed","Недавно просмотренные"
"@min - @max characters","@min - @max символов"
"No results found. Try another search keyword","Ничего не найдено. Попробуйте другое ключевое слово"
"Products per page","Товаров на странице"
"Default view","Вид по умолчанию"
Grid,Сетка
List,Список
"Sorting field","Поле сортировки"
"Sorting direction","Направление сортировки"
Ascending,"По возрастанию"
Descending,"По убыванию"
"Your wishlist is empty. <a href=""@url"">Continue shopping</a>","Ваш список желаний пуст. <a href=""@url""> Продолжить покупки</a>"
